Player ID,Overall Pick,Games,Minutes Played,Free Throw Percentage,Minutes Per Game,Points Per Game,Total Rebounds Per Game
238,27,317,8833,0.631,27.9,10,9.9
239,20,376,10229,0.804,27.2,13.1,2.7
240,38,69,934,0.706,13.5,4.3,2.4
241,22,441,11000,0.655,24.9,11.4,8.2
242,49,239,3320,0.682,13.9,6.2,3.8
243,20,23,98,0.5,4.3,1.2,0.7
244,22,863,24075,0.855,27.9,10.8,2.9
245,20,878,24539,0.81,27.9,11.3,3
246,3,1047,37617,0.812,35.9,24.2,6.5
247,5,172,1946,0.73,11.3,2.9,1.8
248,25,86,952,0.833,11.1,2.9,0.9
249,33,59,1381,0.79,23.4,6.9,2.7
250,26,69,858,0.736,12.4,3.8,3.3
251,53,6,58,0,9.7,3,2.8
253,12,65,1252,0.873,19.3,7.1,2.3
254,18,49,327,0.611,6.7,2.7,1.8
255,49,9,32,1,3.6,0.4,0.3
256,8,211,4703,0.768,22.3,6.8,3.4
257,38,91,859,0.747,9.4,3.2,0.9
258,38,178,4066,0.801,22.8,8.8,2.6
259,8,379,11696,0.782,30.9,12,3.4
260,37,21,79,0.579,3.8,1,1.2
261,56,24,224,0.733,9.3,2.3,0.6
262,9,457,13843,0.42,30.3,13.5,13.3
263,44,41,407,0.724,9.9,2.9,0.9
264,8,382,11939,0.812,31.3,15.2,3.3
265,33,356,7794,0.786,21.9,6.5,2.9
266,52,23,135,0.571,5.9,2,1.5
267,15,293,4132,0.778,14.1,5.2,2.6
268,35,83,820,0.642,9.9,3.3,1
269,39,554,9997,0.765,18,6.1,4
270,44,407,7998,0.797,19.7,7.9,3
271,29,138,2111,0.72,15.3,5.9,3.2
272,15,651,17890,0.824,27.5,12.6,2.9
273,27,759,20794,0.825,27.4,10.8,2.9
274,60,14,166,1,11.9,1.8,1.1
275,26,618,11379,0.564,18.4,5.6,4.2
276,56,811,17619,0.669,21.7,7.2,5.5
277,60,30,234,0.5,7.8,2.7,1
278,2,468,8638,0.574,18.5,6,4.2
279,25,507,11580,0.758,22.8,8.1,3.6
280,58,13,81,0.5,6.2,1.3,0.6
281,23,1017,31576,0.756,31,11.1,4.3
282,9,218,3354,0.749,15.4,7.1,2.2
283,38,634,18429,0.797,29.1,13.5,7
284,14,167,1863,0.728,11.2,3.6,1
285,44,456,6477,0.861,14.2,4.6,2.3
287,30,16,108,0.3,6.8,1.6,1.8
288,30,116,1186,0.551,10.2,3,2.6
289,7,456,13823,0.788,30.3,13,5
290,30,170,2394,0.557,14.1,4.2,4.3
291,35,459,12665,0.705,27.6,9.3,6.9
292,52,37,164,0.6,4.4,0.9,1
293,11,530,17450,0.852,32.9,19.2,3.4
294,44,110,1334,0.754,12.1,3.7,0.9
295,6,328,5343,0.725,16.3,3.7,3.1
296,7,625,21528,0.903,34.4,23.1,4.4
297,14,252,3841,0.74,15.2,7.1,4.3
298,18,715,16601,0.841,23.2,9.8,2
299,36,52,433,0.578,8.3,3.1,1.8
300,46,16,303,0.594,18.9,5.2,3.3
301,9,90,524,0.583,5.8,2.1,1.4
302,38,7,38,0.667,5.4,1.4,1.9
303,9,225,2795,0.786,12.4,6,3.1
304,40,833,29011,0.772,34.8,17.8,3.5
305,42,17,144,0.167,8.5,2.8,2.1
306,11,516,11146,0.5,21.6,6.3,7
307,11,557,11950,0.665,21.5,8.3,3.1
309,3,986,27340,0.803,27.7,11.2,4.3
