Player ID,Round,Overall Pick,Games,Minutes Played,Points,Total Rebounds,Assists ,Field Goal Percentage,3-Point Percentage,Free Throw Percentage,Minutes Per Game,Points Per Game,Total Rebounds Per Game,Assists Per Game
172,1,4,527,13109,6820,2725,287,0.545,1,0.642,24.9,12.9,5.2,0.5
173,2,30,644,16278,3741,1826,1132,0.445,0.318,0.765,25.3,5.8,2.8,1.8
174,2,45,45,550,203,94,33,0.463,0,0.691,12.2,4.5,2.1,0.7
175,1,4,289,6032,2782,1340,352,0.435,0.191,0.691,20.9,9.6,4.6,1.2
176,1,7,436,8758,3262,2302,223,0.459,0.231,0.704,20.1,7.5,5.3,0.5
177,1,24,95,973,251,238,37,0.361,0,0.559,10.2,2.6,2.5,0.4
178,2,32,80,1246,442,80,147,0.377,0.378,0.822,15.6,5.5,1,1.8
179,2,33,450,6443,1814,1539,237,0.487,0.333,0.714,14.3,4,3.4,0.5
180,2,34,50,936,314,81,145,0.37,0.333,0.778,18.7,6.3,1.6,2.9
181,,,,,,,,,,,,,,
182,1,24,172,2669,737,242,466,0.425,0.339,0.818,15.5,4.3,1.4,2.7
183,1,1,320,11579,6350,1314,661,0.448,0.329,0.742,36.2,19.8,4.1,2.1
184,2,33,180,3458,1325,433,193,0.453,0.396,0.768,19.2,7.4,2.4,1.1
185,1,1,151,1905,658,472,77,0.392,0.261,0.67,12.6,4.4,3.1,0.5
186,1,19,95,1110,287,140,87,0.395,0.282,0.842,11.7,3,1.5,0.9
187,2,31,294,7142,2739,819,343,0.437,0.393,0.848,24.3,9.3,2.8,1.2
188,2,33,7,38,19,6,4,0.5,0.4,0.75,5.4,2.7,0.9,0.6
189,1,4,365,10490,4867,968,1022,0.412,0.341,0.701,28.7,13.3,2.7,2.8
190,1,24,84,605,197,56,39,0.347,0.306,0.674,7.2,2.3,0.7,0.5
191,2,33,92,761,203,212,13,0.497,0,0.68,8.3,2.2,2.3,0.1
192,2,34,455,10802,4102,1712,629,0.431,0.343,0.791,23.7,9,3.8,1.4
193,1,1,441,14955,9698,1517,2420,0.462,0.388,0.875,33.9,22,3.4,5.5
194,1,4,510,14310,4650,4320,412,0.518,0,0.608,28.1,9.1,8.5,0.8
195,2,32,22,150,45,18,4,0.34,0.276,0.333,6.8,2,0.8,0.2
196,1,30,51,1049,320,137,40,0.411,0.277,0.611,20.6,6.3,2.7,0.8
197,2,46,532,13370,4700,1827,860,0.42,0.396,0.817,25.1,8.8,3.4,1.6
198,1,19,534,11925,5081,3639,449,0.505,0,0.617,22.3,9.5,6.8,0.8
199,1,25,408,7329,3118,760,458,0.42,0.332,0.807,18,7.6,1.9,1.1
